Country,Population (1000 people),Wheat produced per capita (kg per year),Wheat imports per capita (kg per year),Wheat used for food per capita (kg per year),Kcal per day per capita from Wheat,GDP per capita,Total Kcal per day per capita
Slovakia,5440,301.2867647,64.70588235,119.4852941,894,17624.79828,2902
Slovenia,2062,74.68477207,119.3016489,98.44810863,786,24371.69902,3173
Solomon Islands,538,0,35.31598513,39.03345725,280,1615.182659,2473
Somalia,9908,0.100928543,25.8377069,21.69963666,173,107.7224994,1696
South Africa,51949,38.59554563,36.74757936,60.46314655,495,7734.545447,3007
Spain,46514,147.8479598,103.1087415,76.70808789,562,31270.81726,3183
Sri Lanka,20926,0,66.09003154,38.99455223,274,2828.452522,2488
Sudan (former),43552,6.704628949,38.16127847,35.75036738,304,1523.274392,2346
Suriname,530,0,62.26415094,60.37735849,466,8236.202918,2727
Swaziland,1212,0.825082508,48.67986799,45.37953795,372,3374.289016,2275
Sweden,9449,238.4379299,53.9739655,76.09270822,576,56725.85104,3160
Switzerland,7915,69.86734049,90.20846494,94.63044852,652,83240.76687,3487
Syrian Arab Republic,21804,176.940011,26.27958173,150.7521556,1175,2947.69145,3106
Tajikistan,7815,93.02623161,123.2245681,127.831094,1023,834.661674,2101
Thailand,66576,0.015020428,27.12689257,11.80605624,83,5478.012769,2757
The former Yugoslav Republic of Macedonia,2104,121.6730038,68.44106464,106.4638783,762,4940.945915,2923
Timor-Leste,1096,0,10.94890511,10.94890511,77,5288.267033,2083
Togo,6472,0,13.44252163,11.58838072,88,569.859954,2366
Trinidad and Tobago,1333,0,102.7756939,88.52213053,682,17659.68173,2889
Tunisia,10753,149.3536687,152.9805636,204.5940668,1632,4276.029556,3362
Turkey,73059,298.3889733,65.49501088,173.4899191,1311,10604.84015,3680
Turkmenistan,5107,254.5525749,36.2247895,188.1730958,1464,5495.120181,2883
Uganda,35148,0.654375782,12.37623762,11.23819278,85,517.9921856,2279
Ukraine,45803,487.3916556,1.65927996,105.9537585,824,3567.96478,3142
United Arab Emirates,8925,0,125.4901961,95.79831933,769,39057.85395,3215
United Kingdom,62672,243.4420475,32.00791422,96.91728364,750,39445.86994,3414
United Republic of Tanzania,46355,2.437708985,24.46338043,15.29500593,116,529.8746379,2167
United States of America,314912,172.7879535,12.52730922,79.51745249,590,49327.47,3639
Uruguay,3383,595.9207804,12.11942063,113.2131244,815,13723.91542,2939
Uzbekistan,28152,231.8485365,70.47456664,170.5740267,1329,1618.317926,2675
Vanuatu,242,0,49.58677686,45.45454545,343,3112.175952,2820
Venezuela,29501,0,56.23538185,54.67611267,407,10727.98257,2880
Viet Nam,89914,0,27.65976377,8.752808239,66,1507.434937,2703
Yemen,23304,9.955372468,120.4514246,113.9718503,912,1347.711892,2185
Zambia,13634,17.38301306,1.833651166,11.001907,88,1408.561319,1937
Zimbabwe,13359,1.721685755,41.02103451,29.49322554,231,663.6426223,2210
